ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,Germ_160817,germtot_160817,Germ_160825,germtot_160825,Germ_160908,germtot_160908,Germ_161003,germtot_161003,PSF,Block,maxgerm,surv2017,mort2017,newGerm2017,surv.rate
1,19,D,NA,BOER,BOGR,Live,1,1,1,1,1,1,1,1,Away,1,1,1,0,0,1
2,19,D,NA,BOER,BOER,Live,0,0,0,0,1,1,0,0,Home,1,1,0,0,0,0
3,19,D,NA,BOER,BOER,Sterile,0,0,0,0,0,0,0,0,Sterile,1,0,0,0,0,
4,19,D,NA,BOGR,BOER,Live,2,2,3,3,2,2,2,2,Away,1,3,0,2,0,0
8,23,S,BOGR,BOER,BOER,Live,2,2,1,1,1,1,1,1,Home,1,2,0,0,0,0
10,23,S,BOGR,BOGR,BOER,Live,3,3,3,3,3,3,2,3,Away,1,3,0,1,0,0
12,23,S,BOGR,BOGR,BOGR,Sterile,0,0,1,1,1,1,1,1,Sterile,1,1,1,0,0,1
14,34,S,BOGR,BOER,BOER,Live,1,1,1,1,1,1,1,1,Home,2,1,1,0,0,1
15,34,S,BOGR,BOER,BOER,Sterile,2,2,2,2,2,2,1,2,Sterile,2,2,1,0,0,0.5
18,34,S,BOGR,BOGR,BOGR,Sterile,0,0,0,0,0,0,0,0,Sterile,2,0,0,0,0,
21,36,D,NA,BOER,BOER,Sterile,0,0,0,0,0,0,0,0,Sterile,2,0,0,0,0,
22,36,D,NA,BOGR,BOER,Live,1,1,1,1,0,0,0,0,Away,2,1,0,0,0,0
25,49,D,NA,BOER,BOGR,Live,5,5,5,5,5,5,4,5,Away,3,5,3,0,0,0.6
27,49,D,NA,BOER,BOER,Sterile,1,1,1,1,1,1,1,1,Sterile,3,1,0,1,0,0
28,49,D,NA,BOGR,BOER,Live,1,1,1,1,1,1,1,1,Away,3,1,0,0,0,0
29,49,D,NA,BOGR,BOGR,Live,7,7,5,5,2,2,NA,2,Home,3,7,0,0,0,0
30,49,D,NA,BOGR,BOGR,Sterile,3,3,2,2,2,2,NA,2,Sterile,3,3,0,2,0,0
31,50,S,BOGR,BOER,BOGR,Live,0,0,1,1,0,0,0,0,Away,3,1,0,0,0,0
32,50,S,BOGR,BOER,BOER,Live,0,0,0,0,1,1,0,0,Home,3,1,0,0,0,0
33,50,S,BOGR,BOER,BOER,Sterile,0,0,1,1,1,1,0,0,Sterile,3,1,0,0,0,0
34,50,S,BOGR,BOGR,BOER,Live,2,2,2,2,1,1,1,1,Away,3,2,0,1,0,0
35,50,S,BOGR,BOGR,BOGR,Live,1,1,1,1,1,1,1,1,Home,3,1,0,0,0,0
37,52,D,NA,BOER,BOGR,Live,2,2,5,5,4,4,4,4,Away,4,5,1,0,0,0.2
40,52,D,NA,BOGR,BOER,Live,2,2,3,3,3,3,1,3,Away,4,3,0,2,0,0
41,52,D,NA,BOGR,BOGR,Live,1,1,1,1,0,0,NA,1,Home,4,1,0,0,0,0
45,53,S,BOER,BOER,BOER,Sterile,2,2,2,2,2,2,2,2,Sterile,4,2,0,1,0,0
48,53,S,BOER,BOGR,BOGR,Sterile,3,3,4,4,4,4,4,4,Sterile,4,4,4,0,0,1
