ID,Plot,InocSPP,State,Block,Day,BOERgerm,BOERdeath,BOGRgerm,BOGRdeath
19 BOER,19,BOER,D,1,6,0.1,0.1,0.5,0
19 BOGR,19,BOGR,D,1,6,0.2,0,0.6,0
23 BOER,23,BOER,S,1,6,0.2,0.3,0.5,0.1
23 BOGR,23,BOGR,S,1,6,0.1,0.1,0.7,0
34 BOER,34,BOER,S,2,6,0.3,0.3,0.5,0
34 BOGR,34,BOGR,S,2,6,0.5,0.1,0.6,0.1
36 BOER,36,BOER,D,2,6,0.1,0.2,0.6,0.1
36 BOGR,36,BOGR,D,2,6,0.2,0.1,0.4,0.1
49 BOER,49,BOER,D,3,6,0.5,0,0.4,0.1
49 BOGR,49,BOGR,D,3,6,0.1,0.1,0.8,0
50 BOER,50,BOER,S,3,6,0.3,0.1,0.2,0.2
50 BOGR,50,BOGR,S,3,6,0,0.5,0.6,0.3
53 BOGR,53,BOGR,S,4,6,0,0.6,0.8,0.2
53 BOER,53,BOER,S,4,6,0.1,0.2,0.7,0.1
52 BOGR,52,BOGR,D,4,6,0,0.1,0.5,0.2
52 BOER,52,BOER,D,4,6,0.1,0,0.5,0.1
55 BOER,55,BOER,S,5,6,0.2,0.1,0.4,0.1
55 BOGR,55,BOGR,S,5,6,0.2,0.2,0.6,0.2
56 BOER,56,BOER,D,5,6,0.3,0,0.6,0.1
56 BOGR,56,BOGR,D,5,6,0.1,0,0.8,0.1
59 BOER,59,BOER,D,6,6,0.1,0.2,0.6,0.1
59 BOGR,59,BOGR,D,6,6,0,0,0.6,0.1
61 BOER,61,BOER,S,6,6,0.2,0.2,0.3,0
61 BOGR,61,BOGR,S,6,6,0.3,0.1,0.5,0.1
67 BOER,67,BOER,D,7,6,0.2,0,0.7,0
67 BOGR,67,BOGR,D,7,6,0.2,0.1,0.4,0
69 BOER,69,BOER,S,7,6,0.5,0.3,0.4,0.5
69 BOGR,69,BOGR,S,7,6,0.1,0.5,0.7,0.1
77 BOER,77,BOER,D,8,6,0.3,0.1,0.9,0
77 BOGR,77,BOGR,D,8,6,0.3,0.2,0.8,0
79 BOER,79,BOER,S,8,6,0.5,0.2,0.7,0.1
79 BOGR,79,BOGR,S,8,6,0.4,0.1,0.6,0.2
89 BOER,89,BOER,D,9,6,0.2,0.1,0.5,0
89 BOGR,89,BOGR,D,9,6,0.2,0.1,0.8,0
90 BOER,90,BOER,S,9,6,0.4,0,0.4,0.2
90 BOGR,90,BOGR,S,9,6,0.3,0.4,0.8,0.1
93 BOER,93,BOER,D,10,6,0.4,0.1,0.7,0
93 BOGR,93,BOGR,D,10,6,0.2,0.3,0.7,0.2
95 BOER,95,BOER,S,10,6,0.2,0.3,0.5,0.5
95 BOGR,95,BOGR,S,10,6,0.4,0.3,0.6,0.3
19 BOER,19,BOER,D,1,7,0.1,0.1,0.5,0
19 BOGR,19,BOGR,D,1,7,0.2,0,0.6,0
23 BOER,23,BOER,S,1,7,0.2,0.2,0.6,0
23 BOGR,23,BOGR,S,1,7,0.1,0,0.8,0
34 BOER,34,BOER,S,2,7,0.5,0,0.5,0
34 BOGR,34,BOGR,S,2,7,0.6,0,0.6,0
36 BOER,36,BOER,D,2,7,0.2,0,0.6,0
36 BOGR,36,BOGR,D,2,7,0.3,0,0.5,0
49 BOER,49,BOER,D,3,7,0.5,0,0.4,0
49 BOGR,49,BOGR,D,3,7,0.1,0.1,0.8,0
50 BOER,50,BOER,S,3,7,0.3,0.1,0.3,0.1
50 BOGR,50,BOGR,S,3,7,0,0,0.6,0.1
53 BOGR,53,BOGR,S,4,7,0.1,0,0.7,0
53 BOER,53,BOER,S,4,7,0.1,0,0.8,0
52 BOGR,52,BOGR,D,4,7,0,0,0.4,0.1
52 BOER,52,BOER,D,4,7,0.1,0,0.5,0
55 BOER,55,BOER,S,5,7,0.3,0,0.4,0.1
55 BOGR,55,BOGR,S,5,7,0.2,0.1,0.6,0
