ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,PSF,Census,Date,Surv1,Height,Leaves,Tiller,Long,Short,Surv2,logMass.harv,logMass.both
1,19,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,10.6,8,3,,,1,-0.302458,-0.589756
2,19,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,5.3,9,2,,,1,-0.6042909,-0.873808971
3,19,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
4,19,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,0.6,4,1,,,1,-1.0157258,-0.935727242
5,19,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,10.7,14,3,,,1,-0.300831,-0.592542
6,19,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,7.7,4,1,,,1,-0.532621,-0.619022
7,23,S,BOGR,BOER,BOGR,Live,Away,1,27-Aug-14,1,15.9,13,3,,,1,-0.216227,-0.737414
8,23,S,BOGR,BOER,BOER,Live,Home,1,27-Aug-14,1,2.4,2,1,,,0,-0.8610572,-0.935838968
9,23,S,BOGR,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,7.4,20,5,,,1,-0.4011102,-0.687309318
10,23,S,BOGR,BOGR,BOER,Live,Away,1,27-Aug-14,1,8.6,12,3,,,1,-0.3131538,-0.811803802
11,23,S,BOGR,BOGR,BOGR,Live,Home,1,27-Aug-14,1,7.4,19,6,,,1,-0.080052,-0.335514
12,23,S,BOGR,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,4.3,4,1,,,1,-0.587939,-0.524298
13,34,S,BOGR,BOER,BOGR,Live,Away,1,27-Aug-14,0,,,,,,1,-0.74939,-0.45953
14,34,S,BOGR,BOER,BOER,Live,Home,1,27-Aug-14,0,,,,,,1,-1.07486,-0.9979
15,34,S,BOGR,BOER,BOER,Sterile,Sterile,1,27-Aug-14,0,,,,,,1,-1.07486,-0.9979
16,34,S,BOGR,BOGR,BOER,Live,Away,1,27-Aug-14,1,8.4,25,8,,,1,-0.2924492,-0.500741388
17,34,S,BOGR,BOGR,BOGR,Live,Home,1,27-Aug-14,1,8.1,7,1,,,1,-0.526113,-0.630166
18,34,S,BOGR,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,6.3,6,1,,,1,-0.555399,-0.580018
19,36,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,14.3,10,3,,,1,-0.242259,-0.692838
20,36,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,4.8,8,2,,,1,-0.6472544,-0.873777936
21,36,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,5.6,6,1,,,0,-0.5860908,-0.936037592
22,36,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,9.8,17,2,,,1,-0.2176194,-0.874088286
23,36,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,20.7,7,2,,,1,-0.229621,-0.926172
24,36,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,10.2,20,7,,,1,0.056994,-0.358492
25,49,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,10.9,9,2,,,1,-0.389067,-0.653144
26,49,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,6.8,8,2,,,1,-0.4754004,-0.873902076
27,49,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
28,49,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
29,49,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,12.6,15,3,,,1,-0.269918,-0.645476
30,49,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,4.1,4,1,,,1,-0.591193,-0.518726
31,50,S,BOGR,BOER,BOGR,Live,Away,1,27-Aug-14,1,13.2,17,4,,,1,-0.168666,-0.607162
32,50,S,BOGR,BOER,BOER,Live,Home,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
33,50,S,BOGR,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,6.4,10,4,,,1,-0.4946152,-0.749457248
34,50,S,BOGR,BOGR,BOER,Live,Away,1,27-Aug-14,,,,,,,,-1.07486,-0.9979
35,50,S,BOGR,BOGR,BOGR,Live,Home,1,27-Aug-14,1,9.6,5,1,,,1,-0.501708,-0.671956
36,50,S,BOGR,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,12.4,7,2,,,1,-0.364662,-0.694934
37,52,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,6.9,7,1,,,1,-0.545637,-0.596734
38,52,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,11.2,14,3,,,1,-0.0897436,-0.811965184
39,52,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,4.1,5,1,,,1,-0.7149813,-0.935944487
40,52,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,15.1,18,2,,,1,0.2377937,-0.874417257
41,52,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,11.8,15,3,,,1,-0.282934,-0.623188
42,52,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,4.4,6,1,,,1,-0.586312,-0.527084
43,53,S,BOER,BOER,BOGR,Live,Away,1,27-Aug-14,1,26.1,24,6,,,1,0.224197,-0.856496
44,53,S,BOER,BOER,BOER,Live,Home,1,27-Aug-14,1,9.7,13,3,,,1,-0.2186341,-0.811872079
45,53,S,BOER,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,5.1,5,1,,,1,-0.6290543,-0.936006557
46,53,S,BOER,BOGR,BOER,Live,Away,1,27-Aug-14,1,15.9,15,2,,,1,0.3065353,-0.874466913
47,53,S,BOER,BOGR,BOGR,Live,Home,1,27-Aug-14,1,17.2,13,3,,,1,-0.195076,-0.773632
48,53,S,BOER,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,6.2,6,1,,,1,-0.557026,-0.577232
49,55,S,BOER,BOER,BOGR,Live,Away,1,27-Aug-14,1,18,27,6,,,1,0.09241,-0.63083
50,55,S,BOER,BOER,BOER,Live,Home,1,27-Aug-14,1,6.8,9,2,,,1,-0.4754004,-0.873902076
51,55,S,BOER,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,3.8,2,1,,,1,-0.7407594,-0.935925866
52,55,S,BOER,BOGR,BOER,Live,Away,1,27-Aug-14,1,4.3,10,2,,,1,-0.6902179,-0.873746901
53,55,S,BOER,BOGR,BOGR,Live,Home,1,27-Aug-14,1,8.2,6,1,,,1,-0.524486,-0.632952
54,55,S,BOER,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,22.3,21,4,,,1,-0.020609,-0.860688
55,56,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,7.6,10,2,,,1,-0.442758,-0.561206
56,56,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,14.1,9,2,,,1,0.1518667,-0.874355187
57,56,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,13.8,14,3,,,1,0.1336666,-0.812126566
58,56,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,6.8,6,1,,,1,-0.4829784,-0.936112076
59,56,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,23.8,33,8,,,1,0.369756,-0.682358
60,56,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,16.7,30,6,,,1,0.071259,-0.594612
